Area|Sources of personal income|Ethnic group|Value|Flags
"Auckland Region"|"Other sources of income"|"Total people, ethnic group"|20157|
"Auckland Region"|"No source of income during that time"|"Total people, ethnic group"|102660|
"Auckland Region"|"Total people stated"|"Total people, ethnic group"|1027935|
"Auckland Region"|"Not stated"|"Total people, ethnic group"|91260|
"Waikato Region"|"Total people, sources of personal income"|"Total people, ethnic group"|316155|
"Waikato Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|163710|
"Waikato Region"|"Self-employment or business"|"Total people, ethnic group"|49983|
"Waikato Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|58908|
"Waikato Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|3795|
"Waikato Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|52560|
"Waikato Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|7011|
"Waikato Region"|"Unemployment benefit"|"Total people, ethnic group"|8886|
"Waikato Region"|"Sickness benefit"|"Total people, ethnic group"|7785|
"Waikato Region"|"Domestic purposes benefit"|"Total people, ethnic group"|9891|
"Waikato Region"|"Invalids benefit"|"Total people, ethnic group"|7878|
"Waikato Region"|"Student allowance"|"Total people, ethnic group"|8226|
"Waikato Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|13194|
"Waikato Region"|"Other sources of income"|"Total people, ethnic group"|5358|
"Waikato Region"|"No source of income during that time"|"Total people, ethnic group"|20406|
"Waikato Region"|"Total people stated"|"Total people, ethnic group"|293853|
"Waikato Region"|"Not stated"|"Total people, ethnic group"|22305|
"Bay of Plenty Region"|"Total people, sources of personal income"|"Total people, ethnic group"|210018|
"Bay of Plenty Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|103533|
"Bay of Plenty Region"|"Self-employment or business"|"Total people, ethnic group"|31143|
"Bay of Plenty Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|42690|
"Bay of Plenty Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|2472|
"Bay of Plenty Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|41472|
"Bay of Plenty Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|5973|
"Bay of Plenty Region"|"Unemployment benefit"|"Total people, ethnic group"|6648|
"Bay of Plenty Region"|"Sickness benefit"|"Total people, ethnic group"|5673|
"Bay of Plenty Region"|"Domestic purposes benefit"|"Total people, ethnic group"|7467|
"Bay of Plenty Region"|"Invalids benefit"|"Total people, ethnic group"|4356|
"Bay of Plenty Region"|"Student allowance"|"Total people, ethnic group"|4113|
"Bay of Plenty Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|8844|
"Bay of Plenty Region"|"Other sources of income"|"Total people, ethnic group"|3117|
"Bay of Plenty Region"|"No source of income during that time"|"Total people, ethnic group"|12372|
"Bay of Plenty Region"|"Total people stated"|"Total people, ethnic group"|193236|
"Bay of Plenty Region"|"Not stated"|"Total people, ethnic group"|16785|
"Gisborne Region"|"Total people, sources of personal income"|"Total people, ethnic group"|32925|
"Gisborne Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|16887|
"Gisborne Region"|"Self-employment or business"|"Total people, ethnic group"|4131|
"Gisborne Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|5022|
"Gisborne Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|465|
"Gisborne Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|5277|
"Gisborne Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|672|
"Gisborne Region"|"Unemployment benefit"|"Total people, ethnic group"|1440|
"Gisborne Region"|"Sickness benefit"|"Total people, ethnic group"|1023|
"Gisborne Region"|"Domestic purposes benefit"|"Total people, ethnic group"|1650|
"Gisborne Region"|"Invalids benefit"|"Total people, ethnic group"|1194|
"Gisborne Region"|"Student allowance"|"Total people, ethnic group"|591|
"Gisborne Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1413|
"Gisborne Region"|"Other sources of income"|"Total people, ethnic group"|459|
"Gisborne Region"|"No source of income during that time"|"Total people, ethnic group"|1866|
"Gisborne Region"|"Total people stated"|"Total people, ethnic group"|29832|
"Gisborne Region"|"Not stated"|"Total people, ethnic group"|3093|
"Hawke's Bay Region"|"Total people, sources of personal income"|"Total people, ethnic group"|118284|
"Hawke's Bay Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|61962|
"Hawke's Bay Region"|"Self-employment or business"|"Total people, ethnic group"|15921|
"Hawke's Bay Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|22917|
"Hawke's Bay Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|1632|
"Hawke's Bay Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|22686|
"Hawke's Bay Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3123|
"Hawke's Bay Region"|"Unemployment benefit"|"Total people, ethnic group"|3552|
"Hawke's Bay Region"|"Sickness benefit"|"Total people, ethnic group"|3024|
"Hawke's Bay Region"|"Domestic purposes benefit"|"Total people, ethnic group"|4056|
"Hawke's Bay Region"|"Invalids benefit"|"Total people, ethnic group"|3465|
"Hawke's Bay Region"|"Student allowance"|"Total people, ethnic group"|2082|
"Hawke's Bay Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|5136|
"Hawke's Bay Region"|"Other sources of income"|"Total people, ethnic group"|1728|
"Hawke's Bay Region"|"No source of income during that time"|"Total people, ethnic group"|6588|
"Hawke's Bay Region"|"Total people stated"|"Total people, ethnic group"|109302|
"Hawke's Bay Region"|"Not stated"|"Total people, ethnic group"|8982|
"Taranaki Region"|"Total people, sources of personal income"|"Total people, ethnic group"|86466|
"Taranaki Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|45975|
"Taranaki Region"|"Self-employment or business"|"Total people, ethnic group"|13557|
"Taranaki Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|17517|
"Taranaki Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|1149|
"Taranaki Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|15771|
"Taranaki Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1938|
"Taranaki Region"|"Unemployment benefit"|"Total people, ethnic group"|1662|
"Taranaki Region"|"Sickness benefit"|"Total people, ethnic group"|1692|
"Taranaki Region"|"Domestic purposes benefit"|"Total people, ethnic group"|2322|
"Taranaki Region"|"Invalids benefit"|"Total people, ethnic group"|2430|
"Taranaki Region"|"Student allowance"|"Total people, ethnic group"|933|
"Taranaki Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|3354|
"Taranaki Region"|"Other sources of income"|"Total people, ethnic group"|1275|
"Taranaki Region"|"No source of income during that time"|"Total people, ethnic group"|4977|
"Taranaki Region"|"Total people stated"|"Total people, ethnic group"|80613|
"Taranaki Region"|"Not stated"|"Total people, ethnic group"|5853|
"Manawatu-Wanganui Region"|"Total people, sources of personal income"|"Total people, ethnic group"|177126|
"Manawatu-Wanganui Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|91929|
"Manawatu-Wanganui Region"|"Self-employment or business"|"Total people, ethnic group"|22965|
"Manawatu-Wanganui Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|32277|
"Manawatu-Wanganui Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|2505|
"Manawatu-Wanganui Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|33315|
"Manawatu-Wanganui Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|4848|
"Manawatu-Wanganui Region"|"Unemployment benefit"|"Total people, ethnic group"|6039|
"Manawatu-Wanganui Region"|"Sickness benefit"|"Total people, ethnic group"|4170|
"Manawatu-Wanganui Region"|"Domestic purposes benefit"|"Total people, ethnic group"|5442|
"Manawatu-Wanganui Region"|"Invalids benefit"|"Total people, ethnic group"|6330|
"Manawatu-Wanganui Region"|"Student allowance"|"Total people, ethnic group"|4779|
"Manawatu-Wanganui Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|7722|
"Manawatu-Wanganui Region"|"Other sources of income"|"Total people, ethnic group"|3345|
"Manawatu-Wanganui Region"|"No source of income during that time"|"Total people, ethnic group"|10674|
"Manawatu-Wanganui Region"|"Total people stated"|"Total people, ethnic group"|165156|
"Manawatu-Wanganui Region"|"Not stated"|"Total people, ethnic group"|11964|
"Wellington Region"|"Total people, sources of personal income"|"Total people, ethnic group"|379311|
"Wellington Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|220920|
"Wellington Region"|"Self-employment or business"|"Total people, ethnic group"|51180|
"Wellington Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|84801|
"Wellington Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|3513|
"Wellington Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|54975|
"Wellington Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12879|
"Wellington Region"|"Unemployment benefit"|"Total people, ethnic group"|11427|
"Wellington Region"|"Sickness benefit"|"Total people, ethnic group"|6957|
"Wellington Region"|"Domestic purposes benefit"|"Total people, ethnic group"|8046|
"Wellington Region"|"Invalids benefit"|"Total people, ethnic group"|7701|
"Wellington Region"|"Student allowance"|"Total people, ethnic group"|11397|
"Wellington Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|14298|
"Wellington Region"|"Other sources of income"|"Total people, ethnic group"|8505|
"Wellington Region"|"No source of income during that time"|"Total people, ethnic group"|24183|
"Wellington Region"|"Total people stated"|"Total people, ethnic group"|355923|
"Wellington Region"|"Not stated"|"Total people, ethnic group"|23385|
"Tasman Region"|"Total people, sources of personal income"|"Total people, ethnic group"|37725|
"Tasman Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|19737|
"Tasman Region"|"Self-employment or business"|"Total people, ethnic group"|7863|
"Tasman Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|9780|
"Tasman Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|489|
"Tasman Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7752|
"Tasman Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1362|
"Tasman Region"|"Unemployment benefit"|"Total people, ethnic group"|624|
"Tasman Region"|"Sickness benefit"|"Total people, ethnic group"|804|
"Tasman Region"|"Domestic purposes benefit"|"Total people, ethnic group"|858|
"Tasman Region"|"Invalids benefit"|"Total people, ethnic group"|717|
"Tasman Region"|"Student allowance"|"Total people, ethnic group"|411|
"Tasman Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1716|
"Tasman Region"|"Other sources of income"|"Total people, ethnic group"|543|
"Tasman Region"|"No source of income during that time"|"Total people, ethnic group"|1806|
"Tasman Region"|"Total people stated"|"Total people, ethnic group"|35877|
"Tasman Region"|"Not stated"|"Total people, ethnic group"|1848|
"Nelson Region"|"Total people, sources of personal income"|"Total people, ethnic group"|37692|
"Nelson Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|20403|
"Nelson Region"|"Self-employment or business"|"Total people, ethnic group"|5709|
"Nelson Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|8955|
"Nelson Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|507|
"Nelson Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7233|
"Nelson Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1521|
"Nelson Region"|"Unemployment benefit"|"Total people, ethnic group"|921|
"Nelson Region"|"Sickness benefit"|"Total people, ethnic group"|942|
"Nelson Region"|"Domestic purposes benefit"|"Total people, ethnic group"|1107|
"Nelson Region"|"Invalids benefit"|"Total people, ethnic group"|1041|
"Nelson Region"|"Student allowance"|"Total people, ethnic group"|711|
"Nelson Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1848|
"Nelson Region"|"Other sources of income"|"Total people, ethnic group"|591|
"Nelson Region"|"No source of income during that time"|"Total people, ethnic group"|1800|
"Nelson Region"|"Total people stated"|"Total people, ethnic group"|35742|
"Nelson Region"|"Not stated"|"Total people, ethnic group"|1950|
"Marlborough Region"|"Total people, sources of personal income"|"Total people, ethnic group"|35664|
"Marlborough Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|19029|
"Marlborough Region"|"Self-employment or business"|"Total people, ethnic group"|6195|
"Marlborough Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|8217|
"Marlborough Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|537|
"Marlborough Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|7950|
"Marlborough Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1287|
"Marlborough Region"|"Unemployment benefit"|"Total people, ethnic group"|471|
"Marlborough Region"|"Sickness benefit"|"Total people, ethnic group"|669|
"Marlborough Region"|"Domestic purposes benefit"|"Total people, ethnic group"|738|
"Marlborough Region"|"Invalids benefit"|"Total people, ethnic group"|768|
"Marlborough Region"|"Student allowance"|"Total people, ethnic group"|264|
"Marlborough Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1362|
"Marlborough Region"|"Other sources of income"|"Total people, ethnic group"|441|
"Marlborough Region"|"No source of income during that time"|"Total people, ethnic group"|1554|
"Marlborough Region"|"Total people stated"|"Total people, ethnic group"|33498|
"Marlborough Region"|"Not stated"|"Total people, ethnic group"|2169|
"West Coast Region"|"Total people, sources of personal income"|"Total people, ethnic group"|25998|
"West Coast Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|14106|
"West Coast Region"|"Self-employment or business"|"Total people, ethnic group"|4005|
"West Coast Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|3999|
"West Coast Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|429|
"West Coast Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|4617|
"West Coast Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|534|
"West Coast Region"|"Unemployment benefit"|"Total people, ethnic group"|591|
"West Coast Region"|"Sickness benefit"|"Total people, ethnic group"|549|
"West Coast Region"|"Domestic purposes benefit"|"Total people, ethnic group"|546|
"West Coast Region"|"Invalids benefit"|"Total people, ethnic group"|816|
"West Coast Region"|"Student allowance"|"Total people, ethnic group"|213|
"West Coast Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|795|
"West Coast Region"|"Other sources of income"|"Total people, ethnic group"|294|
"West Coast Region"|"No source of income during that time"|"Total people, ethnic group"|1248|
"West Coast Region"|"Total people stated"|"Total people, ethnic group"|23997|
"West Coast Region"|"Not stated"|"Total people, ethnic group"|2004|
"Canterbury Region"|"Total people, sources of personal income"|"Total people, ethnic group"|438741|
"Canterbury Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|253809|
"Canterbury Region"|"Self-employment or business"|"Total people, ethnic group"|63855|
"Canterbury Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|95667|
"Canterbury Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|5310|
"Canterbury Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|74838|
"Canterbury Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|11868|
"Canterbury Region"|"Unemployment benefit"|"Total people, ethnic group"|7704|
"Canterbury Region"|"Sickness benefit"|"Total people, ethnic group"|8031|
"Canterbury Region"|"Domestic purposes benefit"|"Total people, ethnic group"|8421|
"Canterbury Region"|"Invalids benefit"|"Total people, ethnic group"|11130|
"Canterbury Region"|"Student allowance"|"Total people, ethnic group"|10566|
"Canterbury Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|16506|
"Canterbury Region"|"Other sources of income"|"Total people, ethnic group"|7506|
"Canterbury Region"|"No source of income during that time"|"Total people, ethnic group"|23931|
"Canterbury Region"|"Total people stated"|"Total people, ethnic group"|414132|
"Canterbury Region"|"Not stated"|"Total people, ethnic group"|24609|
"Otago Region"|"Total people, sources of personal income"|"Total people, ethnic group"|167553|
"Otago Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|95724|
"Otago Region"|"Self-employment or business"|"Total people, ethnic group"|25203|
"Otago Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|35052|
"Otago Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|2325|
"Otago Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|28323|
"Otago Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|4344|
"Otago Region"|"Unemployment benefit"|"Total people, ethnic group"|4323|
"Otago Region"|"Sickness benefit"|"Total people, ethnic group"|3135|
"Otago Region"|"Domestic purposes benefit"|"Total people, ethnic group"|2661|
"Otago Region"|"Invalids benefit"|"Total people, ethnic group"|3630|
"Otago Region"|"Student allowance"|"Total people, ethnic group"|7380|
"Otago Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|6588|
"Otago Region"|"Other sources of income"|"Total people, ethnic group"|4251|
"Otago Region"|"No source of income during that time"|"Total people, ethnic group"|8688|
"Otago Region"|"Total people stated"|"Total people, ethnic group"|157077|
"Otago Region"|"Not stated"|"Total people, ethnic group"|10476|
"Southland Region"|"Total people, sources of personal income"|"Total people, ethnic group"|74145|
"Southland Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|42591|
"Southland Region"|"Self-employment or business"|"Total people, ethnic group"|12111|
"Southland Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|15096|
"Southland Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|1182|
"Southland Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|13203|
"Southland Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1209|
"Southland Region"|"Unemployment benefit"|"Total people, ethnic group"|2643|
"Southland Region"|"Sickness benefit"|"Total people, ethnic group"|1215|
"Southland Region"|"Domestic purposes benefit"|"Total people, ethnic group"|1719|
"Southland Region"|"Invalids benefit"|"Total people, ethnic group"|1581|
"Southland Region"|"Student allowance"|"Total people, ethnic group"|1269|
"Southland Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|2838|
"Southland Region"|"Other sources of income"|"Total people, ethnic group"|1104|
"Southland Region"|"No source of income during that time"|"Total people, ethnic group"|3537|
"Southland Region"|"Total people stated"|"Total people, ethnic group"|70041|
"Southland Region"|"Not stated"|"Total people, ethnic group"|4104|
"Total, Regional Council Areas"|"Total people, sources of personal income"|"Total people, ethnic group"|3375939|
"Total, Regional Council Areas"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1809243|
"Total, Regional Council Areas"|"Self-employment or business"|"Total people, ethnic group"|483339|
"Total, Regional Council Areas"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|654993|
"Total, Regional Council Areas"|"Payments from a work accident insurer"|"Total people, ethnic group"|36264|
"Total, Regional Council Areas"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|526380|
"Total, Regional Council Areas"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|83901|
"Total, Regional Council Areas"|"Unemployment benefit"|"Total people, ethnic group"|91473|
"Total, Regional Council Areas"|"Sickness benefit"|"Total people, ethnic group"|78405|
"Total, Regional Council Areas"|"Domestic purposes benefit"|"Total people, ethnic group"|86127|
"Total, Regional Council Areas"|"Invalids benefit"|"Total people, ethnic group"|74490|
"Total, Regional Council Areas"|"Student allowance"|"Total people, ethnic group"|89355|
"Total, Regional Council Areas"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|131115|
"Total, Regional Council Areas"|"Other sources of income"|"Total people, ethnic group"|60159|
"Total, Regional Council Areas"|"No source of income during that time"|"Total people, ethnic group"|233613|
"Total, Regional Council Areas"|"Total people stated"|"Total people, ethnic group"|3133278|
"Total, Regional Council Areas"|"Not stated"|"Total people, ethnic group"|242664|
"Area Outside Region"|"Total people, sources of personal income"|"Total people, ethnic group"|480|
"Area Outside Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|288|
"Area Outside Region"|"Self-employment or business"|"Total people, ethnic group"|147|
"Area Outside Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|66|
"Area Outside Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Area Outside Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|57|
"Area Outside Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3|
"Area Outside Region"|"Unemployment benefit"|"Total people, ethnic group"|6|
"Area Outside Region"|"Sickness benefit"|"Total people, ethnic group"|6|
"Area Outside Region"|"Domestic purposes benefit"|"Total people, ethnic group"|9|
"Area Outside Region"|"Invalids benefit"|"Total people, ethnic group"|9|
"Area Outside Region"|"Student allowance"|"Total people, ethnic group"|6|
"Area Outside Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|6|
"Area Outside Region"|"Other sources of income"|"Total people, ethnic group"|9|
"Area Outside Region"|"No source of income during that time"|"Total people, ethnic group"|12|
"Area Outside Region"|"Total people stated"|"Total people, ethnic group"|444|
"Area Outside Region"|"Not stated"|"Total people, ethnic group"|33|
"Far North District"|"Total people, sources of personal income"|"Total people, ethnic group"|43350|
"Far North District"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|16314|
"Far North District"|"Self-employment or business"|"Total people, ethnic group"|7260|
"Far North District"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|6699|
"Far North District"|"Payments from a work accident insurer"|"Total people, ethnic group"|531|
"Far North District"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|8442|
"Far North District"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|1245|
"Far North District"|"Unemployment benefit"|"Total people, ethnic group"|1980|
"Far North District"|"Sickness benefit"|"Total people, ethnic group"|1464|
"Far North District"|"Domestic purposes benefit"|"Total people, ethnic group"|1920|
"Far North District"|"Invalids benefit"|"Total people, ethnic group"|1491|
"Far North District"|"Student allowance"|"Total people, ethnic group"|606|
"Far North District"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|1584|
"Far North District"|"Other sources of income"|"Total people, ethnic group"|510|
"Far North District"|"No source of income during that time"|"Total people, ethnic group"|2760|
