Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Canterbury Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|2361|
"Canterbury Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|12396|
"Otago Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|5016|
"Otago Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|771|
"Otago Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|4245|
"Southland Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2853|
"Southland Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|438|
"Southland Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2415|
"Total, Regional Council Areas"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|144396|
"Total, Regional Council Areas"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|22842|
"Total, Regional Council Areas"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|121554|
"Area Outside Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|15|
"Area Outside Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"||c
"Area Outside Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|9|
"Far North District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2619|
"Far North District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|501|
"Far North District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2118|
"Whangarei District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3300|
"Whangarei District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|516|
"Whangarei District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2787|
"Kaipara District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|612|
"Kaipara District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|120|
"Kaipara District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|492|
"Auckland"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|46707|
"Auckland"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|7062|
"Auckland"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|39648|
"Rodney Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1422|
"Rodney Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|237|
"Rodney Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1185|
"Hibiscus and Bays Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2253|
"Hibiscus and Bays Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|318|
"Hibiscus and Bays Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1935|
"Upper Harbour Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1215|
"Upper Harbour Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|174|
"Upper Harbour Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1041|
"Kaipatiki Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2310|
"Kaipatiki Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|333|
"Kaipatiki Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1977|
"Devonport-Takapuna Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1407|
"Devonport-Takapuna Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|234|
"Devonport-Takapuna Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1176|
"Henderson-Massey Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|4641|
"Henderson-Massey Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|651|
"Henderson-Massey Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3993|
"Waitakere Ranges Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1695|
"Waitakere Ranges Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|246|
"Waitakere Ranges Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1446|
"Great Barrier Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|24|
"Great Barrier Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|6|
"Great Barrier Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|18|
"Waiheke Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|282|
"Waiheke Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|51|
"Waiheke Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|231|
"Waitemata Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1266|
"Waitemata Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|228|
"Waitemata Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1035|
"Whau Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2490|
"Whau Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|387|
"Whau Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2106|
"Albert-Eden Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2424|
"Albert-Eden Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|342|
"Albert-Eden Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2085|
"Puketapapa Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1467|
"Puketapapa Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|204|
"Puketapapa Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1263|
"Orakei Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1641|
"Orakei Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|255|
"Orakei Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1383|
"Maungakiekie-Tamaki Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2685|
"Maungakiekie-Tamaki Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|378|
"Maungakiekie-Tamaki Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2307|
"Howick Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3141|
"Howick Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|471|
"Howick Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2670|
"Mangere-Otahuhu Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3735|
"Mangere-Otahuhu Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|618|
"Mangere-Otahuhu Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3114|
"Otara-Papatoetoe Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3747|
"Otara-Papatoetoe Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|585|
"Otara-Papatoetoe Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3165|
"Manurewa Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|4362|
"Manurewa Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|630|
"Manurewa Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3732|
"Papakura Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2487|
"Papakura Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|369|
"Papakura Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2118|
"Franklin Local Board Area"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2010|
"Franklin Local Board Area"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|342|
"Franklin Local Board Area"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1665|
"Thames-Coromandel District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|813|
"Thames-Coromandel District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|147|
"Thames-Coromandel District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|669|
"Hauraki District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|678|
"Hauraki District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|105|
"Hauraki District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|573|
"Waikato District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2307|
"Waikato District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|387|
"Waikato District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1920|
"Matamata-Piako District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1011|
"Matamata-Piako District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|159|
"Matamata-Piako District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|849|
"Hamilton City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|6000|
"Hamilton City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|852|
"Hamilton City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|5151|
"Waipa District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1485|
"Waipa District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|234|
"Waipa District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1254|
"Otorohanga District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|288|
"Otorohanga District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|45|
"Otorohanga District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|240|
"South Waikato District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1074|
"South Waikato District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|189|
"South Waikato District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|885|
"Waitomo District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|357|
"Waitomo District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|57|
"Waitomo District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|297|
"Taupo District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1245|
"Taupo District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|183|
"Taupo District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1062|
"Western Bay of Plenty District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1350|
"Western Bay of Plenty District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|258|
"Western Bay of Plenty District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1095|
"Tauranga City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|4599|
"Tauranga City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|693|
"Tauranga City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3906|
"Rotorua District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3285|
"Rotorua District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|564|
"Rotorua District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2718|
"Whakatane District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1545|
"Whakatane District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|264|
"Whakatane District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1281|
"Kawerau District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|438|
"Kawerau District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|84|
"Kawerau District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|354|
"Opotiki District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|429|
"Opotiki District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|84|
"Opotiki District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|348|
"Gisborne District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2436|
"Gisborne District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|408|
"Gisborne District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2028|
"Wairoa District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|408|
"Wairoa District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|69|
"Wairoa District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|336|
"Hastings District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3168|
"Hastings District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|507|
"Hastings District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2661|
"Napier City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2589|
"Napier City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|396|
"Napier City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2193|
"Central Hawke's Bay District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|390|
"Central Hawke's Bay District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|81|
"Central Hawke's Bay District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|312|
"New Plymouth District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2622|
"New Plymouth District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|417|
"New Plymouth District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2202|
"Stratford District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|306|
"Stratford District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|51|
"Stratford District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|252|
"South Taranaki District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|978|
"South Taranaki District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|192|
"South Taranaki District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|786|
"Ruapehu District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|522|
"Ruapehu District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|90|
"Ruapehu District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|435|
"Wanganui District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2049|
"Wanganui District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|342|
"Wanganui District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1707|
"Rangitikei District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|420|
"Rangitikei District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|63|
"Rangitikei District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|357|
"Manawatu District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|894|
"Manawatu District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|147|
"Manawatu District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|744|
"Palmerston North City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3057|
"Palmerston North City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|456|
"Palmerston North City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2598|
"Tararua District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|606|
"Tararua District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|87|
"Tararua District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|516|
"Horowhenua District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1287|
"Horowhenua District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|198|
"Horowhenua District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1089|
"Kapiti Coast District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1701|
"Kapiti Coast District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|267|
"Kapiti Coast District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1437|
"Porirua City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2337|
"Porirua City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|375|
"Porirua City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1962|
"Upper Hutt City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1419|
"Upper Hutt City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|210|
"Upper Hutt City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1209|
"Lower Hutt City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3747|
"Lower Hutt City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|600|
"Lower Hutt City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3150|
"Wellington City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|4182|
"Wellington City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|750|
"Wellington City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3432|
"Masterton District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|954|
"Masterton District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|153|
"Masterton District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|804|
"Carterton District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|231|
"Carterton District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|42|
"Carterton District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|186|
"South Wairarapa District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|276|
"South Wairarapa District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|60|
"South Wairarapa District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|216|
"Tasman District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1299|
"Tasman District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|204|
"Tasman District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1092|
"Nelson City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1683|
"Nelson City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|261|
"Nelson City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1422|
"Marlborough District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1236|
"Marlborough District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|192|
"Marlborough District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1044|
"Kaikoura District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|90|
"Kaikoura District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|15|
"Kaikoura District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|78|
"Buller District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|309|
"Buller District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|66|
"Buller District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|243|
"Grey District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|339|
"Grey District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|54|
"Grey District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|288|
"Westland District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|192|
"Westland District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|33|
"Westland District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|159|
"Hurunui District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|201|
"Hurunui District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|39|
"Hurunui District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|162|
"Waimakariri District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1164|
"Waimakariri District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|171|
"Waimakariri District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|993|
"Christchurch City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|10419|
"Christchurch City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|1671|
"Christchurch City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|8748|
"Selwyn District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|717|
"Selwyn District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|129|
"Selwyn District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|591|
"Ashburton District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|687|
"Ashburton District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|123|
"Ashburton District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|564|
"Timaru District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1239|
"Timaru District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|171|
"Timaru District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1068|
"Mackenzie District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|69|
"Mackenzie District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|12|
"Mackenzie District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|57|
"Waimate District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|150|
"Waimate District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|30|
"Waimate District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|120|
"Chatham Islands Territory"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|15|
"Chatham Islands Territory"|"Total one parent with dependent children families"|"Male sole parent"|"2013"||c
"Chatham Islands Territory"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|9|
"Waitaki District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|489|
"Waitaki District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|75|
"Waitaki District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|414|
"Central Otago District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|390|
"Central Otago District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|69|
"Central Otago District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|318|
"Queenstown-Lakes District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|477|
"Queenstown-Lakes District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|87|
"Queenstown-Lakes District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|390|
"Dunedin City"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3306|
"Dunedin City"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|471|
"Dunedin City"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2832|
"Clutha District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|378|
"Clutha District"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|72|
"Clutha District"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|306|
"Southland District"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|507|
