Area|Age group|Occupied dwelling type|Value|Flags
"Northland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|6753|
"Northland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|2430|
"Northland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|33|
"Northland Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|9318|
"Northland Region"|"Total people, age group"|"Dwelling in a motor camp"|168|
"Northland Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|912|
"Northland Region"|"Total people, age group"|"Improvised dwelling or shelter"|558|
"Northland Region"|"Total people, age group"|"Roofless or rough sleeper"|3|
"Northland Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|1638|
"Northland Region"|"Total people, age group"|"Occupied private dwelling not further defined"|12678|
"Northland Region"|"Total people, age group"|"Residential care for older people"|1122|
"Northland Region"|"Total people, age group"|"Public hospital"|27|
"Northland Region"|"Total people, age group"|"Private hospital"|0|
"Northland Region"|"Total people, age group"|"Residential and community care facilities"|204|
"Northland Region"|"Total people, age group"|"Welfare institution"|12|
"Northland Region"|"Total people, age group"|"Educational institution"|57|
"Northland Region"|"Total people, age group"|"Religious institution"|6|
"Northland Region"|"Total people, age group"|"Prison or penal institution"|108|
"Northland Region"|"Total people, age group"|"Defence establishment"|0|
"Northland Region"|"Total people, age group"|"Night shelter"|0|
"Northland Region"|"Total people, age group"|"Total usual residents in institutions"|1539|
"Northland Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|414|
"Northland Region"|"Total people, age group"|"Boarding house"|6|
"Northland Region"|"Total people, age group"|"Moto camp/camping ground"|69|
"Northland Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Northland Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|3|
"Northland Region"|"Total people, age group"|"Communal staff quarters"|30|
"Northland Region"|"Total people, age group"|"Commercial vessel"|6|
"Northland Region"|"Total people, age group"|"Marae complex"|0|
"Northland Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|531|
"Northland Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|6|
"Auckland Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|1416789|
"Auckland Region"|"Total people, age group"|"Separate house no storey information"|5061|
"Auckland Region"|"Total people, age group"|"Separate house with one storey"|643098|
"Auckland Region"|"Total people, age group"|"Separate house with two or more storeys"|410082|
"Auckland Region"|"Total people, age group"|"Total usual residents in separate houses"|1058244|
"Auckland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|2082|
"Auckland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|108999|
"Auckland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|105285|
"Auckland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|29517|
"Auckland Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|245886|
"Auckland Region"|"Total people, age group"|"Dwelling in a motor camp"|822|
"Auckland Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|1779|
"Auckland Region"|"Total people, age group"|"Improvised dwelling or shelter"|1272|
"Auckland Region"|"Total people, age group"|"Roofless or rough sleeper"|6|
"Auckland Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|3882|
"Auckland Region"|"Total people, age group"|"Occupied private dwelling not further defined"|85827|
"Auckland Region"|"Total people, age group"|"Residential care for older people"|8532|
"Auckland Region"|"Total people, age group"|"Public hospital"|342|
"Auckland Region"|"Total people, age group"|"Private hospital"|438|
"Auckland Region"|"Total people, age group"|"Residential and community care facilities"|1620|
"Auckland Region"|"Total people, age group"|"Welfare institution"|339|
"Auckland Region"|"Total people, age group"|"Educational institution"|3942|
"Auckland Region"|"Total people, age group"|"Religious institution"|183|
"Auckland Region"|"Total people, age group"|"Prison or penal institution"|813|
"Auckland Region"|"Total people, age group"|"Defence establishment"|630|
"Auckland Region"|"Total people, age group"|"Night shelter"|0|
"Auckland Region"|"Total people, age group"|"Total usual residents in institutions"|16845|
"Auckland Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|4290|
"Auckland Region"|"Total people, age group"|"Boarding house"|1362|
"Auckland Region"|"Total people, age group"|"Moto camp/camping ground"|96|
"Auckland Region"|"Total people, age group"|"Work, construction, or training camp"|3|
"Auckland Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|63|
"Auckland Region"|"Total people, age group"|"Communal staff quarters"|90|
"Auckland Region"|"Total people, age group"|"Commercial vessel"|0|
"Auckland Region"|"Total people, age group"|"Marae complex"|30|
"Auckland Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|5934|
"Auckland Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|177|
"Waikato Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|399798|
"Waikato Region"|"Total people, age group"|"Separate house no storey information"|1233|
"Waikato Region"|"Total people, age group"|"Separate house with one storey"|284085|
"Waikato Region"|"Total people, age group"|"Separate house with two or more storeys"|55407|
"Waikato Region"|"Total people, age group"|"Total usual residents in separate houses"|340722|
"Waikato Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|279|
"Waikato Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|20133|
"Waikato Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|9543|
"Waikato Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|237|
"Waikato Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|30195|
"Waikato Region"|"Total people, age group"|"Dwelling in a motor camp"|219|
"Waikato Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|915|
"Waikato Region"|"Total people, age group"|"Improvised dwelling or shelter"|531|
"Waikato Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Waikato Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|1665|
"Waikato Region"|"Total people, age group"|"Occupied private dwelling not further defined"|20370|
"Waikato Region"|"Total people, age group"|"Residential care for older people"|2619|
"Waikato Region"|"Total people, age group"|"Public hospital"|66|
"Waikato Region"|"Total people, age group"|"Private hospital"|87|
"Waikato Region"|"Total people, age group"|"Residential and community care facilities"|480|
"Waikato Region"|"Total people, age group"|"Welfare institution"|3|
"Waikato Region"|"Total people, age group"|"Educational institution"|1578|
"Waikato Region"|"Total people, age group"|"Religious institution"|15|
"Waikato Region"|"Total people, age group"|"Prison or penal institution"|1137|
"Waikato Region"|"Total people, age group"|"Defence establishment"|0|
"Waikato Region"|"Total people, age group"|"Night shelter"|21|
"Waikato Region"|"Total people, age group"|"Total usual residents in institutions"|6012|
"Waikato Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|606|
"Waikato Region"|"Total people, age group"|"Boarding house"|27|
"Waikato Region"|"Total people, age group"|"Moto camp/camping ground"|96|
"Waikato Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Waikato Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|15|
"Waikato Region"|"Total people, age group"|"Communal staff quarters"|27|
"Waikato Region"|"Total people, age group"|"Commercial vessel"|0|
"Waikato Region"|"Total people, age group"|"Marae complex"|3|
"Waikato Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|777|
"Waikato Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|57|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|264837|
"Bay of Plenty Region"|"Total people, age group"|"Separate house no storey information"|882|
"Bay of Plenty Region"|"Total people, age group"|"Separate house with one storey"|165018|
"Bay of Plenty Region"|"Total people, age group"|"Separate house with two or more storeys"|51399|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in separate houses"|217299|
"Bay of Plenty Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|207|
"Bay of Plenty Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|16971|
"Bay of Plenty Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|8115|
"Bay of Plenty Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|711|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|26007|
"Bay of Plenty Region"|"Total people, age group"|"Dwelling in a motor camp"|486|
"Bay of Plenty Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|789|
"Bay of Plenty Region"|"Total people, age group"|"Improvised dwelling or shelter"|558|
"Bay of Plenty Region"|"Total people, age group"|"Roofless or rough sleeper"|3|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|1839|
"Bay of Plenty Region"|"Total people, age group"|"Occupied private dwelling not further defined"|16494|
"Bay of Plenty Region"|"Total people, age group"|"Residential care for older people"|1989|
"Bay of Plenty Region"|"Total people, age group"|"Public hospital"|24|
"Bay of Plenty Region"|"Total people, age group"|"Private hospital"|87|
"Bay of Plenty Region"|"Total people, age group"|"Residential and community care facilities"|330|
"Bay of Plenty Region"|"Total people, age group"|"Welfare institution"|6|
"Bay of Plenty Region"|"Total people, age group"|"Educational institution"|90|
"Bay of Plenty Region"|"Total people, age group"|"Religious institution"|3|
"Bay of Plenty Region"|"Total people, age group"|"Prison or penal institution"|9|
"Bay of Plenty Region"|"Total people, age group"|"Defence establishment"|0|
"Bay of Plenty Region"|"Total people, age group"|"Night shelter"|0|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in institutions"|2538|
"Bay of Plenty Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|558|
"Bay of Plenty Region"|"Total people, age group"|"Boarding house"|0|
"Bay of Plenty Region"|"Total people, age group"|"Moto camp/camping ground"|48|
"Bay of Plenty Region"|"Total people, age group"|"Work, construction, or training camp"|9|
"Bay of Plenty Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|27|
"Bay of Plenty Region"|"Total people, age group"|"Communal staff quarters"|9|
"Bay of Plenty Region"|"Total people, age group"|"Commercial vessel"|3|
"Bay of Plenty Region"|"Total people, age group"|"Marae complex"|6|
"Bay of Plenty Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|660|
"Bay of Plenty Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|0|
"Gisborne Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|43224|
"Gisborne Region"|"Total people, age group"|"Separate house no storey information"|153|
"Gisborne Region"|"Total people, age group"|"Separate house with one storey"|32175|
"Gisborne Region"|"Total people, age group"|"Separate house with two or more storeys"|3699|
"Gisborne Region"|"Total people, age group"|"Total usual residents in separate houses"|36027|
"Gisborne Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|45|
"Gisborne Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|2478|
"Gisborne Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|561|
"Gisborne Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|39|
"Gisborne Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|3126|
"Gisborne Region"|"Total people, age group"|"Dwelling in a motor camp"|12|
"Gisborne Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|84|
"Gisborne Region"|"Total people, age group"|"Improvised dwelling or shelter"|66|
"Gisborne Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Gisborne Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|162|
"Gisborne Region"|"Total people, age group"|"Occupied private dwelling not further defined"|3330|
"Gisborne Region"|"Total people, age group"|"Residential care for older people"|321|
"Gisborne Region"|"Total people, age group"|"Public hospital"|12|
"Gisborne Region"|"Total people, age group"|"Private hospital"|0|
"Gisborne Region"|"Total people, age group"|"Residential and community care facilities"|27|
"Gisborne Region"|"Total people, age group"|"Welfare institution"|0|
"Gisborne Region"|"Total people, age group"|"Educational institution"|21|
"Gisborne Region"|"Total people, age group"|"Religious institution"|0|
"Gisborne Region"|"Total people, age group"|"Prison or penal institution"|3|
"Gisborne Region"|"Total people, age group"|"Defence establishment"|0|
"Gisborne Region"|"Total people, age group"|"Night shelter"|0|
"Gisborne Region"|"Total people, age group"|"Total usual residents in institutions"|384|
"Gisborne Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|90|
"Gisborne Region"|"Total people, age group"|"Boarding house"|66|
"Gisborne Region"|"Total people, age group"|"Moto camp/camping ground"|9|
"Gisborne Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Gisborne Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|0|
"Gisborne Region"|"Total people, age group"|"Communal staff quarters"|18|
"Gisborne Region"|"Total people, age group"|"Commercial vessel"|0|
"Gisborne Region"|"Total people, age group"|"Marae complex"|15|
"Gisborne Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|195|
"Gisborne Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|0|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|149136|
"Hawke's Bay Region"|"Total people, age group"|"Separate house no storey information"|519|
"Hawke's Bay Region"|"Total people, age group"|"Separate house with one storey"|107430|
"Hawke's Bay Region"|"Total people, age group"|"Separate house with two or more storeys"|15429|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in separate houses"|123381|
"Hawke's Bay Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|126|
"Hawke's Bay Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|11706|
"Hawke's Bay Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|2325|
"Hawke's Bay Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|270|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|14427|
"Hawke's Bay Region"|"Total people, age group"|"Dwelling in a motor camp"|177|
"Hawke's Bay Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|285|
"Hawke's Bay Region"|"Total people, age group"|"Improvised dwelling or shelter"|198|
"Hawke's Bay Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|660|
"Hawke's Bay Region"|"Total people, age group"|"Occupied private dwelling not further defined"|7797|
"Hawke's Bay Region"|"Total people, age group"|"Residential care for older people"|1227|
"Hawke's Bay Region"|"Total people, age group"|"Public hospital"|54|
"Hawke's Bay Region"|"Total people, age group"|"Private hospital"|3|
"Hawke's Bay Region"|"Total people, age group"|"Residential and community care facilities"|237|
"Hawke's Bay Region"|"Total people, age group"|"Welfare institution"|6|
"Hawke's Bay Region"|"Total people, age group"|"Educational institution"|246|
"Hawke's Bay Region"|"Total people, age group"|"Religious institution"|0|
"Hawke's Bay Region"|"Total people, age group"|"Prison or penal institution"|393|
"Hawke's Bay Region"|"Total people, age group"|"Defence establishment"|0|
"Hawke's Bay Region"|"Total people, age group"|"Night shelter"|0|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in institutions"|2166|
"Hawke's Bay Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|351|
"Hawke's Bay Region"|"Total people, age group"|"Boarding house"|84|
"Hawke's Bay Region"|"Total people, age group"|"Moto camp/camping ground"|87|
"Hawke's Bay Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Hawke's Bay Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|12|
"Hawke's Bay Region"|"Total people, age group"|"Communal staff quarters"|162|
"Hawke's Bay Region"|"Total people, age group"|"Commercial vessel"|3|
"Hawke's Bay Region"|"Total people, age group"|"Marae complex"|3|
"Hawke's Bay Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|702|
"Hawke's Bay Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|6|
"Taranaki Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|107763|
"Taranaki Region"|"Total people, age group"|"Separate house no storey information"|324|
"Taranaki Region"|"Total people, age group"|"Separate house with one storey"|77055|
"Taranaki Region"|"Total people, age group"|"Separate house with two or more storeys"|16572|
"Taranaki Region"|"Total people, age group"|"Total usual residents in separate houses"|93948|
"Taranaki Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|87|
"Taranaki Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|5067|
"Taranaki Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|1776|
"Taranaki Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|141|
"Taranaki Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|7077|
"Taranaki Region"|"Total people, age group"|"Dwelling in a motor camp"|102|
"Taranaki Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|177|
"Taranaki Region"|"Total people, age group"|"Improvised dwelling or shelter"|114|
"Taranaki Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Taranaki Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|393|
"Taranaki Region"|"Total people, age group"|"Occupied private dwelling not further defined"|4560|
"Taranaki Region"|"Total people, age group"|"Residential care for older people"|1143|
"Taranaki Region"|"Total people, age group"|"Public hospital"|3|
"Taranaki Region"|"Total people, age group"|"Private hospital"|0|
"Taranaki Region"|"Total people, age group"|"Residential and community care facilities"|93|
"Taranaki Region"|"Total people, age group"|"Welfare institution"|0|
"Taranaki Region"|"Total people, age group"|"Educational institution"|285|
"Taranaki Region"|"Total people, age group"|"Religious institution"|0|
"Taranaki Region"|"Total people, age group"|"Prison or penal institution"|0|
"Taranaki Region"|"Total people, age group"|"Defence establishment"|0|
"Taranaki Region"|"Total people, age group"|"Night shelter"|0|
"Taranaki Region"|"Total people, age group"|"Total usual residents in institutions"|1524|
"Taranaki Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|156|
"Taranaki Region"|"Total people, age group"|"Boarding house"|0|
"Taranaki Region"|"Total people, age group"|"Moto camp/camping ground"|45|
"Taranaki Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Taranaki Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|3|
"Taranaki Region"|"Total people, age group"|"Communal staff quarters"|42|
"Taranaki Region"|"Total people, age group"|"Commercial vessel"|3|
"Taranaki Region"|"Total people, age group"|"Marae complex"|12|
"Taranaki Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|261|
"Taranaki Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|3|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|219213|
"Manawatu-Wanganui Region"|"Total people, age group"|"Separate house no storey information"|744|
"Manawatu-Wanganui Region"|"Total people, age group"|"Separate house with one storey"|161658|
"Manawatu-Wanganui Region"|"Total people, age group"|"Separate house with two or more storeys"|24870|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in separate houses"|187275|
"Manawatu-Wanganui Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|141|
"Manawatu-Wanganui Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|12816|
"Manawatu-Wanganui Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|2601|
"Manawatu-Wanganui Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|81|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|15636|
"Manawatu-Wanganui Region"|"Total people, age group"|"Dwelling in a motor camp"|99|
"Manawatu-Wanganui Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|354|
"Manawatu-Wanganui Region"|"Total people, age group"|"Improvised dwelling or shelter"|213|
"Manawatu-Wanganui Region"|"Total people, age group"|"Roofless or rough sleeper"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|663|
"Manawatu-Wanganui Region"|"Total people, age group"|"Occupied private dwelling not further defined"|10137|
"Manawatu-Wanganui Region"|"Total people, age group"|"Residential care for older people"|2070|
"Manawatu-Wanganui Region"|"Total people, age group"|"Public hospital"|33|
"Manawatu-Wanganui Region"|"Total people, age group"|"Private hospital"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Residential and community care facilities"|489|
"Manawatu-Wanganui Region"|"Total people, age group"|"Welfare institution"|6|
"Manawatu-Wanganui Region"|"Total people, age group"|"Educational institution"|1446|
"Manawatu-Wanganui Region"|"Total people, age group"|"Religious institution"|30|
"Manawatu-Wanganui Region"|"Total people, age group"|"Prison or penal institution"|471|
"Manawatu-Wanganui Region"|"Total people, age group"|"Defence establishment"|489|
"Manawatu-Wanganui Region"|"Total people, age group"|"Night shelter"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in institutions"|5031|
"Manawatu-Wanganui Region"|"Total people, age group"|"Hotel, motel, or guest accommodation"|369|
"Manawatu-Wanganui Region"|"Total people, age group"|"Boarding house"|54|
"Manawatu-Wanganui Region"|"Total people, age group"|"Moto camp/camping ground"|27|
"Manawatu-Wanganui Region"|"Total people, age group"|"Work, construction, or training camp"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Youth, school, or scout/guide camp"|3|
"Manawatu-Wanganui Region"|"Total people, age group"|"Communal staff quarters"|12|
"Manawatu-Wanganui Region"|"Total people, age group"|"Commercial vessel"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Marae complex"|0|
"Manawatu-Wanganui Region"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|465|
"Manawatu-Wanganui Region"|"Total people, age group"|"Occupied non-private dwelling not further defined"|6|
"Wellington Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|467619|
"Wellington Region"|"Total people, age group"|"Separate house no storey information"|1131|
"Wellington Region"|"Total people, age group"|"Separate house with one storey"|223791|
"Wellington Region"|"Total people, age group"|"Separate house with two or more storeys"|126843|
"Wellington Region"|"Total people, age group"|"Total usual residents in separate houses"|351765|
"Wellington Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|549|
"Wellington Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|28812|
"Wellington Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|43506|
"Wellington Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|11490|
"Wellington Region"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|84354|
"Wellington Region"|"Total people, age group"|"Dwelling in a motor camp"|222|
"Wellington Region"|"Total people, age group"|"Mobile dwelling not in a motor camp"|510|
"Wellington Region"|"Total people, age group"|"Improvised dwelling or shelter"|186|
"Wellington Region"|"Total people, age group"|"Roofless or rough sleeper"|9|
"Wellington Region"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|927|
"Wellington Region"|"Total people, age group"|"Occupied private dwelling not further defined"|20727|
"Wellington Region"|"Total people, age group"|"Residential care for older people"|3378|
"Wellington Region"|"Total people, age group"|"Public hospital"|144|
"Wellington Region"|"Total people, age group"|"Private hospital"|51|
"Wellington Region"|"Total people, age group"|"Residential and community care facilities"|618|
"Wellington Region"|"Total people, age group"|"Welfare institution"|60|
"Wellington Region"|"Total people, age group"|"Educational institution"|2988|
"Wellington Region"|"Total people, age group"|"Religious institution"|63|
"Wellington Region"|"Total people, age group"|"Prison or penal institution"|450|
